FECHA_MEDICION,LABORATORIO_COSTERO,ANOMALIA_TEMPERATURA
1970-11-01,ILO,-1.9048
1970-11-02,ILO,-1.8139
1970-11-03,ILO,-1.0806
1970-11-04,ILO,-1.1472
1970-11-05,ILO,-0.8472
1970-11-06,ILO,-1.1806
1970-11-07,ILO,-1.3211
1970-11-09,ILO,-1.4544
1970-11-10,ILO,-1.3211
1970-11-11,ILO,-0.4544
1970-11-12,ILO,-1.0926
1970-11-13,ILO,-1.9259
1970-11-14,ILO,-2.2259
1970-11-16,ILO,-1.3926
1970-11-17,ILO,-1.7382
1970-11-18,ILO,-2.1382
1970-11-19,ILO,-2.3715
1970-11-20,ILO,-2.3715
1970-11-21,ILO,-2.2048
1970-11-23,ILO,-1.2299
1970-11-24,ILO,-1.7299
1970-11-25,ILO,-1.7632
1970-11-26,ILO,-1.8966
1970-11-27,ILO,-1.9909
1970-11-28,ILO,-1.9576
1970-11-30,ILO,-0.7242
1970-12-01,ILO,-1.1909
1970-12-02,ILO,-1.5211
1970-12-03,ILO,-1.3544
1970-12-04,ILO,-1.6878
1970-12-05,ILO,-1.5211
1970-12-07,ILO,-0.4942
1970-12-08,ILO,-0.9942
1970-12-09,ILO,-1.6942
1970-12-10,ILO,-1.4608
1970-12-11,ILO,-1.5608
1970-12-12,ILO,-1.398
1970-12-14,ILO,-1.7313
1970-12-15,ILO,-1.2313
1970-12-16,ILO,-1.2313
1970-12-17,ILO,-2.2904
1970-12-18,ILO,-2.6571
1970-12-19,ILO,-2.5904
1970-12-21,ILO,-1.2238
1970-12-22,ILO,-1.1631
1970-12-23,ILO,-1.8631
1970-12-24,ILO,-2.1964
1970-12-25,ILO,-2.2631
1970-12-26,ILO,-2.1631
1970-12-28,ILO,-2.5498
1970-12-29,ILO,-2.2498
1970-12-30,ILO,-1.6165
1970-12-31,ILO,-1.8498
1971-01-01,ILO,-1.7252
1971-01-02,ILO,-2.1252
1971-01-04,ILO,-1.2919
1971-01-05,ILO,-0.8252
1971-01-06,ILO,-2.0734
1971-01-07,ILO,-1.7401
1971-01-08,ILO,-2.0734
1971-01-09,ILO,-1.2068
1971-01-11,ILO,-2.4137
1971-01-12,ILO,-2.5804
1971-01-13,ILO,-2.6804
1971-01-14,ILO,-2.5804
1971-01-15,ILO,-3.2137
1971-01-16,ILO,-3.3788
1971-01-18,ILO,-3.8788
1971-01-19,ILO,-3.5122
1971-01-20,ILO,-2.2455
1971-01-21,ILO,-0.6508
1971-01-22,ILO,0.0159
1971-01-23,ILO,1.4159
1971-01-25,ILO,-0.5508
1971-01-26,ILO,-0.2776
1971-01-27,ILO,0.189
1971-01-28,ILO,-1.4776
1971-01-29,ILO,-0.5776
1971-01-30,ILO,-0.411
1971-02-01,ILO,-1.2758
1971-02-02,ILO,-1.5091
1971-02-03,ILO,-1.9091
1971-02-04,ILO,-1.7091
1971-02-05,ILO,-1.188
1971-02-08,ILO,-1.788
1971-02-09,ILO,-1.4547
1971-02-10,ILO,-2.1557
1971-02-11,ILO,-1.789
1971-02-12,ILO,-1.7224
1971-02-13,ILO,-1.389
1971-02-15,ILO,-2.2939
1971-02-16,ILO,-1.8273
1971-02-17,ILO,-1.3273
1971-02-18,ILO,-2.0273
1971-02-19,ILO,-1.4939
1971-02-20,ILO,-1.275
1971-02-22,ILO,-2.2084
1971-02-23,ILO,-0.6084
1971-02-24,ILO,-1.0417
1971-02-25,ILO,-2.6322
1971-02-26,ILO,-2.8322
1971-03-01,ILO,-3.2322
1971-03-02,ILO,-3.6283
1971-03-03,ILO,-2.815
1971-03-04,ILO,-1.915
1971-03-05,ILO,-2.2816
1971-03-08,ILO,-2.6136
1971-03-09,ILO,-2.5802
1971-03-10,ILO,-1.5802
1971-03-11,ILO,-0.6136
1971-03-12,ILO,-1.3918
1971-03-15,ILO,-3.6584
1971-03-16,ILO,-2.8918
1971-03-17,ILO,-3.0676
1971-03-18,ILO,-3.4676
1971-03-19,ILO,-2.5343
1971-03-22,ILO,-2.44
1971-03-23,ILO,-1.0066
1971-03-24,ILO,-2.7066
1971-03-25,ILO,-3.14
1971-03-26,ILO,-2.4733
1971-03-29,ILO,-2.1427
1971-03-30,ILO,-2.7094
1971-03-31,ILO,-1.4094
1971-04-01,ILO,-1.5262
1971-04-02,ILO,-1.2929
1971-04-05,ILO,-0.9595
1971-04-06,ILO,-1.7706
1971-04-07,ILO,-1.5373
1971-04-08,ILO,-1.2373
1971-04-12,ILO,-0.7772
1971-04-13,ILO,-0.4772
1971-04-14,ILO,-0.7438
1971-04-15,ILO,-1.0105
1971-04-16,ILO,-0.7334
1971-04-19,ILO,-0.7
1971-04-20,ILO,-0.9334
1971-04-21,ILO,-0.7417
1971-04-22,ILO,-2.0417
1971-04-23,ILO,-2.2084
1971-04-26,ILO,-2.1798
1971-04-27,ILO,-2.3798
1971-04-28,ILO,-1.2131
1971-04-29,ILO,-1.2465
1971-04-30,ILO,-1.5465
1971-05-03,ILO,-1.89
1971-05-04,ILO,-1.69
1971-05-05,ILO,-1.9567
1971-05-06,ILO,-1.9433
1971-05-07,ILO,-2.4433
1971-05-10,ILO,-0.9433
1971-05-11,ILO,-0.1645
1971-05-12,ILO,-0.7312
1971-05-13,ILO,-0.5312
1971-05-14,ILO,-0.7312
1971-05-17,ILO,-0.2575
1971-05-18,ILO,-0.4908
1971-05-19,ILO,-0.4575
1971-05-20,ILO,-1.0575
1971-05-21,ILO,-0.4925
1971-05-24,ILO,-0.7925
1971-05-25,ILO,-0.7925
1971-05-26,ILO,-0.5637
1971-05-27,ILO,-0.7303
1971-05-28,ILO,-0.097
1971-05-31,ILO,-0.3237
1971-06-01,ILO,0.243
1971-06-02,ILO,0.2763
1971-06-03,ILO,-0.157
1971-06-04,ILO,-0.3237
1971-06-07,ILO,-0.6663
1971-06-08,ILO,-1.3996
1971-06-09,ILO,-1.5996
1971-06-10,ILO,-1.2255
1971-06-11,ILO,-1.2255
1971-06-14,ILO,-0.9922
1971-06-15,ILO,-0.9129
1971-06-16,ILO,-1.1129
1971-06-17,ILO,-0.9462
1971-06-18,ILO,-1.6795
1971-06-21,ILO,-1.0887
1971-06-22,ILO,-1.6887
1971-06-23,ILO,-1.8554
1971-06-24,ILO,-1.4221
1971-06-25,ILO,-1.3805
1971-06-28,ILO,-1.4805
1971-06-30,ILO,-1.0134
1971-07-01,ILO,-1.0134
1971-07-02,ILO,-1.2134
1971-07-05,ILO,-1.8403
1971-07-06,ILO,-1.407
1971-07-07,ILO,-1.2736
1971-07-08,ILO,-0.707
1971-07-09,ILO,-1.007
1971-07-12,ILO,-1.0912
1971-07-13,ILO,-0.8579
1971-07-14,ILO,-1.2246
1971-07-15,ILO,-1.0362
1971-07-16,ILO,-1.0362
1971-07-19,ILO,-1.1362
1971-07-20,ILO,-1.1044
1971-07-21,ILO,-0.9377
1971-07-22,ILO,-1.2044
1971-07-23,ILO,-0.9377
1971-07-26,ILO,-0.8869
1971-07-27,ILO,-1.0536
1971-07-30,ILO,-0.2988
1971-08-02,ILO,-0.9655
1971-08-03,ILO,-0.8655
1971-08-04,ILO,-0.8873
1971-08-05,ILO,-0.8873
1971-08-06,ILO,-0.3873
1971-08-09,ILO,-0.8421
1971-08-10,ILO,-1.0421
1971-08-11,ILO,-0.2755
1971-08-12,ILO,-0.4088
